job_id,job_title,job_description,skills_required,certifications,industry,experience_level,education_required
33,Electrician 33,"We are hiring a Electrician in the Hospitality industry. Candidate should have strong skills in Patient Care, Cybersecurity, Customer Service and demonstrate professional competency.","Patient Care, Cybersecurity, Customer Service",Google Data Analytics,Hospitality,Executive,Diploma
34,UI/UX Designer 34,"We are hiring a UI/UX Designer in the Retail industry. Candidate should have strong skills in Marketing, Cybersecurity, Content Creation and demonstrate professional competency.","Marketing, Cybersecurity, Content Creation",Microsoft Azure,Retail,Executive,B.Tech
35,Construction Supervisor 35,"We are hiring a Construction Supervisor in the Media industry. Candidate should have strong skills in Project Management, Cloud Computing, Customer Service and demonstrate professional competency.","Project Management, Cloud Computing, Customer Service",Digital Marketing Certification,Media,Senior,ITI
36,Police Officer 36,"We are hiring a Police Officer in the E-commerce industry. Candidate should have strong skills in Problem Solving, Marketing, Data Analysis and demonstrate professional competency.","Problem Solving, Marketing, Data Analysis",Google Data Analytics,E-commerce,Mid-Level,MSc
37,Social Worker 37,"We are hiring a Social Worker in the Retail industry. Candidate should have strong skills in Java, Excel, Patient Care and demonstrate professional competency.","Java, Excel, Patient Care",Scrum Master,Retail,Executive,Diploma
38,Stock Broker 38,"We are hiring a Stock Broker in the Telecommunications industry. Candidate should have strong skills in Machine Operation, Excel, Content Creation and demonstrate professional competency.","Machine Operation, Excel, Content Creation",Six Sigma,Telecommunications,Junior,MBA
39,Content Writer 39,"We are hiring a Content Writer in the Agriculture industry. Candidate should have strong skills in Excel, C++, Java and demonstrate professional competency.","Excel, C++, Java",IELTS,Agriculture,Senior,12th Pass
40,Production Manager 40,"We are hiring a Production Manager in the Government industry. Candidate should have strong skills in Teaching, Data Analysis, Problem Solving and demonstrate professional competency.","Teaching, Data Analysis, Problem Solving",Chartered Accountant,Government,Manager,B.Ed
41,Fitness Trainer 41,"We are hiring a Fitness Trainer in the Automobile industry. Candidate should have strong skills in Accounting, AutoCAD, Content Creation and demonstrate professional competency.","Accounting, AutoCAD, Content Creation",Digital Marketing Certification,Automobile,Mid-Level,B.Tech
42,AI Engineer 42,"We are hiring a AI Engineer in the Defense industry. Candidate should have strong skills in Machine Operation, Leadership, Communication and demonstrate professional competency.","Machine Operation, Leadership, Communication",Chartered Accountant,Defense,Mid-Level,12th Pass
43,Cloud Engineer 43,"We are hiring a Cloud Engineer in the Construction industry. Candidate should have strong skills in Data Analysis, Java, Cloud Computing and demonstrate professional competency.","Data Analysis, Java, Cloud Computing",Six Sigma,Construction,Senior,Diploma
44,Retail Store Manager 44,"We are hiring a Retail Store Manager in the Legal industry. Candidate should have strong skills in Machine Operation, Cloud Computing, Leadership and demonstrate professional competency.","Machine Operation, Cloud Computing, Leadership",Google Data Analytics,Legal,Executive,Diploma
45,Mechanical Engineer 45,"We are hiring a Mechanical Engineer in the Finance industry. Candidate should have strong skills in Accounting, Communication, Data Analysis and demonstrate professional competency.","Accounting, Communication, Data Analysis",Six Sigma,Finance,Executive,12th Pass
46,Marine Biologist 46,"We are hiring a Marine Biologist in the Construction industry. Candidate should have strong skills in SQL, Cybersecurity, Excel and demonstrate professional competency.","SQL, Cybersecurity, Excel",Google Data Analytics,Construction,Fresher,MBA
47,AI Engineer 47,"We are hiring a AI Engineer in the Energy industry. Candidate should have strong skills in Leadership, Public Speaking, Java and demonstrate professional competency.","Leadership, Public Speaking, Java",Digital Marketing Certification,Energy,Junior,ITI
48,Doctor 48,"We are hiring a Doctor in the Telecommunications industry. Candidate should have strong skills in Teaching, Accounting, Customer Service and demonstrate professional competency.","Teaching, Accounting, Customer Service",AWS Certified,Telecommunications,Mid-Level,MBA
49,Bank Manager 49,"We are hiring a Bank Manager in the Healthcare industry. Candidate should have strong skills in Accounting, Excel, Public Speaking and demonstrate professional competency.","Accounting, Excel, Public Speaking",PMP,Healthcare,Fresher,BSc
50,Fashion Designer 50,"We are hiring a Fashion Designer in the Energy industry. Candidate should have strong skills in Problem Solving, Marketing, Java and demonstrate professional competency.","Problem Solving, Marketing, Java",IELTS,Energy,Executive,B.Tech
51,Game Developer 51,"We are hiring a Game Developer in the IT industry. Candidate should have strong skills in Excel, Cloud Computing, Sales Strategy and demonstrate professional competency.","Excel, Cloud Computing, Sales Strategy",Google Data Analytics,IT,Executive,BA
52,Army Officer 52,"We are hiring a Army Officer in the E-commerce industry. Candidate should have strong skills in C++, SQL, AutoCAD and demonstrate professional competency.","C++, SQL, AutoCAD",Six Sigma,E-commerce,Manager,PhD
53,Air Hostess 53,"We are hiring a Air Hostess in the Media industry. Candidate should have strong skills in Public Speaking, Project Management, Leadership and demonstrate professional competency.","Public Speaking, Project Management, Leadership",Scrum Master,Media,Senior,Diploma
54,Software Developer 54,"We are hiring a Software Developer in the Media industry. Candidate should have strong skills in Machine Operation, Communication, C++ and demonstrate professional competency.","Machine Operation, Communication, C++",PMP,Media,Mid-Level,MSc
55,Marine Biologist 55,"We are hiring a Marine Biologist in the Real Estate industry. Candidate should have strong skills in Java, Customer Service, C++ and demonstrate professional competency.","Java, Customer Service, C++",Scrum Master,Real Estate,Senior,12th Pass
56,Dentist 56,"We are hiring a Dentist in the Pharmaceutical industry. Candidate should have strong skills in Accounting, Problem Solving, Data Analysis and demonstrate professional competency.","Accounting, Problem Solving, Data Analysis",Six Sigma,Pharmaceutical,Junior,BA
57,Event Planner 57,"We are hiring a Event Planner in the Manufacturing industry. Candidate should have strong skills in Cloud Computing, Python, Accounting and demonstrate professional competency.","Cloud Computing, Python, Accounting",AWS Certified,Manufacturing,Junior,B.Ed
58,Software Developer 58,"We are hiring a Software Developer in the Education industry. Candidate should have strong skills in Customer Service, Python, SQL and demonstrate professional competency.","Customer Service, Python, SQL",Scrum Master,Education,Fresher,PhD
59,Textile Engineer 59,"We are hiring a Textile Engineer in the IT industry. Candidate should have strong skills in Public Speaking, Customer Service, Marketing and demonstrate professional competency.","Public Speaking, Customer Service, Marketing",Six Sigma,IT,Manager,BSc
60,Civil Engineer 60,"We are hiring a Civil Engineer in the E-commerce industry. Candidate should have strong skills in C++, Data Analysis, Teaching and demonstrate professional competency.","C++, Data Analysis, Teaching",AWS Certified,E-commerce,Senior,B.Ed
61,Photographer 61,"We are hiring a Photographer in the Retail industry. Candidate should have strong skills in Patient Care, Marketing, Data Analysis and demonstrate professional competency.","Patient Care, Marketing, Data Analysis",AWS Certified,Retail,Mid-Level,BCom
62,DevOps Engineer 62,"We are hiring a DevOps Engineer in the Retail industry. Candidate should have strong skills in Leadership, SQL, Excel and demonstrate professional competency.","Leadership, SQL, Excel",AWS Certified,Retail,Senior,B.Tech
63,NGO Coordinator 63,"We are hiring a NGO Coordinator in the Defense industry. Candidate should have strong skills in Teaching, Python, Problem Solving and demonstrate professional competency.","Teaching, Python, Problem Solving",Microsoft Azure,Defense,Executive,B.Tech
64,Teacher 64,"We are hiring a Teacher in the Legal industry. Candidate should have strong skills in Problem Solving, Accounting, Public Speaking and demonstrate professional competency.","Problem Solving, Accounting, Public Speaking",Cisco CCNA,Legal,Fresher,B.Tech
65,Content Writer 65,"We are hiring a Content Writer in the Legal industry. Candidate should have strong skills in Excel, Python, Problem Solving and demonstrate professional competency.","Excel, Python, Problem Solving",Cisco CCNA,Legal,Mid-Level,MSc
66,Cybersecurity Analyst 66,"We are hiring a Cybersecurity Analyst in the Agriculture industry. Candidate should have strong skills in Patient Care, Cloud Computing, C++ and demonstrate professional competency.","Patient Care, Cloud Computing, C++",Google Data Analytics,Agriculture,Manager,12th Pass
67,Graphic Designer 67,"We are hiring a Graphic Designer in the Manufacturing industry. Candidate should have strong skills in Communication, C++, Sales Strategy and demonstrate professional competency.","Communication, C++, Sales Strategy",Chartered Accountant,Manufacturing,Senior,12th Pass
68,Blockchain Developer 68,"We are hiring a Blockchain Developer in the Retail industry. Candidate should have strong skills in Data Analysis, Project Management, Problem Solving and demonstrate professional competency.","Data Analysis, Project Management, Problem Solving",Cisco CCNA,Retail,Mid-Level,MBA
69,Marketing Manager 69,"We are hiring a Marketing Manager in the Hospitality industry. Candidate should have strong skills in Public Speaking, Marketing, Excel and demonstrate professional competency.","Public Speaking, Marketing, Excel",AWS Certified,Hospitality,Junior,MSc
70,Robotics Engineer 70,"We are hiring a Robotics Engineer in the Real Estate industry. Candidate should have strong skills in SQL, Marketing, Cybersecurity and demonstrate professional competency.","SQL, Marketing, Cybersecurity",Digital Marketing Certification,Real Estate,Junior,MBA
71,Bank Manager 71,"We are hiring a Bank Manager in the Education industry. Candidate should have strong skills in Communication, Machine Operation, Java and demonstrate professional competency.","Communication, Machine Operation, Java",IELTS,Education,Junior,12th Pass
72,Graphic Designer 72,"We are hiring a Graphic Designer in the Retail industry. Candidate should have strong skills in Marketing, Problem Solving, Content Creation and demonstrate professional competency.","Marketing, Problem Solving, Content Creation",Cisco CCNA,Retail,Fresher,MBA
73,Software Developer 73,"We are hiring a Software Developer in the Automobile industry. Candidate should have strong skills in Content Creation, Problem Solving, Accounting and demonstrate professional competency.","Content Creation, Problem Solving, Accounting",Chartered Accountant,Automobile,Junior,BCom
74,Software Developer 74,"We are hiring a Software Developer in the Construction industry. Candidate should have strong skills in Leadership, AutoCAD, Cloud Computing and demonstrate professional competency.","Leadership, AutoCAD, Cloud Computing",Digital Marketing Certification,Construction,Manager,Diploma
75,Cybersecurity Analyst 75,"We are hiring a Cybersecurity Analyst in the Transportation industry. Candidate should have strong skills in Communication, Leadership, Java and demonstrate professional competency.","Communication, Leadership, Java",AWS Certified,Transportation,Executive,ITI
76,Hotel Manager 76,"We are hiring a Hotel Manager in the IT industry. Candidate should have strong skills in Leadership, Problem Solving, Marketing and demonstrate professional competency.","Leadership, Problem Solving, Marketing",Six Sigma,IT,Fresher,MBA
77,Cab Driver 77,"We are hiring a Cab Driver in the Retail industry. Candidate should have strong skills in Communication, Cloud Computing, Patient Care and demonstrate professional competency.","Communication, Cloud Computing, Patient Care",TEFL,Retail,Executive,BA
78,Cloud Engineer 78,"We are hiring a Cloud Engineer in the Pharmaceutical industry. Candidate should have strong skills in Sales Strategy, Teaching, Content Creation and demonstrate professional competency.","Sales Strategy, Teaching, Content Creation",First Aid Certified,Pharmaceutical,Manager,12th Pass
79,Marketing Manager 79,"We are hiring a Marketing Manager in the Real Estate industry. Candidate should have strong skills in Cybersecurity, Python, Accounting and demonstrate professional competency.","Cybersecurity, Python, Accounting",Digital Marketing Certification,Real Estate,Fresher,PhD
80,News Reporter 80,"We are hiring a News Reporter in the Defense industry. Candidate should have strong skills in Machine Operation, Cloud Computing, Accounting and demonstrate professional competency.","Machine Operation, Cloud Computing, Accounting",First Aid Certified,Defense,Fresher,12th Pass
81,Content Writer 81,"We are hiring a Content Writer in the Healthcare industry. Candidate should have strong skills in Public Speaking, C++, Patient Care and demonstrate professional competency.","Public Speaking, C++, Patient Care",Cisco CCNA,Healthcare,Manager,MBA
82,Dentist 82,"We are hiring a Dentist in the Agriculture industry. Candidate should have strong skills in Problem Solving, SQL, Marketing and demonstrate professional competency.","Problem Solving, SQL, Marketing",Cisco CCNA,Agriculture,Mid-Level,BCom
83,DevOps Engineer 83,"We are hiring a DevOps Engineer in the Finance industry. Candidate should have strong skills in Cybersecurity, Accounting, Public Speaking and demonstrate professional competency.","Cybersecurity, Accounting, Public Speaking",PMP,Finance,Senior,MBA
84,Data Analyst 84,"We are hiring a Data Analyst in the Agriculture industry. Candidate should have strong skills in Patient Care, Project Management, Cloud Computing and demonstrate professional competency.","Patient Care, Project Management, Cloud Computing",AWS Certified,Agriculture,Mid-Level,B.Ed
85,Teacher 85,"We are hiring a Teacher in the Government industry. Candidate should have strong skills in Sales Strategy, Machine Operation, Python and demonstrate professional competency.","Sales Strategy, Machine Operation, Python",Six Sigma,Government,Executive,MBBS
86,Photographer 86,"We are hiring a Photographer in the Transportation industry. Candidate should have strong skills in Machine Operation, Cloud Computing, Communication and demonstrate professional competency.","Machine Operation, Cloud Computing, Communication",Digital Marketing Certification,Transportation,Mid-Level,BSc
87,Lawyer 87,"We are hiring a Lawyer in the Agriculture industry. Candidate should have strong skills in AutoCAD, Patient Care, Problem Solving and demonstrate professional competency.","AutoCAD, Patient Care, Problem Solving",AWS Certified,Agriculture,Mid-Level,B.Ed
88,Psychologist 88,"We are hiring a Psychologist in the Defense industry. Candidate should have strong skills in Data Analysis, Teaching, C++ and demonstrate professional competency.","Data Analysis, Teaching, C++",Scrum Master,Defense,Manager,MBA
89,Stock Broker 89,"We are hiring a Stock Broker in the Hospitality industry. Candidate should have strong skills in Accounting, Data Analysis, Project Management and demonstrate professional competency.","Accounting, Data Analysis, Project Management",TEFL,Hospitality,Executive,BA
90,Biomedical Engineer 90,"We are hiring a Biomedical Engineer in the Finance industry. Candidate should have strong skills in Public Speaking, Communication, Problem Solving and demonstrate professional competency.","Public Speaking, Communication, Problem Solving",Chartered Accountant,Finance,Executive,MSc
91,Electrician 91,"We are hiring a Electrician in the Automobile industry. Candidate should have strong skills in Content Creation, Leadership, Public Speaking and demonstrate professional competency.","Content Creation, Leadership, Public Speaking",Six Sigma,Automobile,Manager,MBBS
92,Plumber 92,"We are hiring a Plumber in the IT industry. Candidate should have strong skills in Marketing, Public Speaking, Excel and demonstrate professional competency.","Marketing, Public Speaking, Excel",TEFL,IT,Senior,PhD
93,Supply Chain Manager 93,"We are hiring a Supply Chain Manager in the Government industry. Candidate should have strong skills in Leadership, Customer Service, SQL and demonstrate professional competency.","Leadership, Customer Service, SQL",Cisco CCNA,Government,Mid-Level,MBA
94,Army Officer 94,"We are hiring a Army Officer in the Finance industry. Candidate should have strong skills in Communication, Customer Service, Accounting and demonstrate professional competency.","Communication, Customer Service, Accounting",PMP,Finance,Senior,BA
95,Sales Executive 95,"We are hiring a Sales Executive in the Telecommunications industry. Candidate should have strong skills in Public Speaking, Project Management, Content Creation and demonstrate professional competency.","Public Speaking, Project Management, Content Creation",IELTS,Telecommunications,Junior,MBBS
96,ML Engineer 96,"We are hiring a ML Engineer in the Media industry. Candidate should have strong skills in Cybersecurity, Problem Solving, SQL and demonstrate professional competency.","Cybersecurity, Problem Solving, SQL",TEFL,Media,Senior,PhD
97,Delivery Executive 97,"We are hiring a Delivery Executive in the Retail industry. Candidate should have strong skills in Customer Service, Python, Communication and demonstrate professional competency.","Customer Service, Python, Communication",Scrum Master,Retail,Manager,12th Pass
98,Plumber 98,"We are hiring a Plumber in the Government industry. Candidate should have strong skills in Customer Service, Content Creation, Patient Care and demonstrate professional competency.","Customer Service, Content Creation, Patient Care",Microsoft Azure,Government,Manager,12th Pass
99,Farmer 99,"We are hiring a Farmer in the Automobile industry. Candidate should have strong skills in Cybersecurity, Teaching, Communication and demonstrate professional competency.","Cybersecurity, Teaching, Communication",Six Sigma,Automobile,Mid-Level,BSc
100,Hotel Manager 100,"We are hiring a Hotel Manager in the Pharmaceutical industry. Candidate should have strong skills in Accounting, Teaching, Content Creation and demonstrate professional competency.","Accounting, Teaching, Content Creation",Cisco CCNA,Pharmaceutical,Mid-Level,ITI
101,News Reporter 101,"We are hiring a News Reporter in the Construction industry. Candidate should have strong skills in AutoCAD, Java, Customer Service and demonstrate professional competency.","AutoCAD, Java, Customer Service",Cisco CCNA,Construction,Executive,BA
102,AI Engineer 102,"We are hiring a AI Engineer in the Real Estate industry. Candidate should have strong skills in Cybersecurity, Teaching, SQL and demonstrate professional competency.","Cybersecurity, Teaching, SQL",Digital Marketing Certification,Real Estate,Senior,BSc
103,Graphic Designer 103,"We are hiring a Graphic Designer in the E-commerce industry. Candidate should have strong skills in Machine Operation, C++, Sales Strategy and demonstrate professional competency.","Machine Operation, C++, Sales Strategy",PMP,E-commerce,Manager,Diploma
104,Marketing Manager 104,"We are hiring a Marketing Manager in the E-commerce industry. Candidate should have strong skills in Teaching, Machine Operation, Cloud Computing and demonstrate professional competency.","Teaching, Machine Operation, Cloud Computing",Digital Marketing Certification,E-commerce,Mid-Level,ITI
105,AI Engineer 105,"We are hiring a AI Engineer in the Construction industry. Candidate should have strong skills in Patient Care, Leadership, AutoCAD and demonstrate professional competency.","Patient Care, Leadership, AutoCAD",Six Sigma,Construction,Junior,MBA
106,Yoga Instructor 106,"We are hiring a Yoga Instructor in the Media industry. Candidate should have strong skills in Teaching, Problem Solving, Leadership and demonstrate professional competency.","Teaching, Problem Solving, Leadership",Six Sigma,Media,Manager,B.Ed
107,Quality Assurance Officer 107,"We are hiring a Quality Assurance Officer in the Construction industry. Candidate should have strong skills in Leadership, Patient Care, Data Analysis and demonstrate professional competency.","Leadership, Patient Care, Data Analysis",TEFL,Construction,Executive,BSc
108,Logistics Coordinator 108,"We are hiring a Logistics Coordinator in the Healthcare industry. Candidate should have strong skills in Problem Solving, Cloud Computing, Machine Operation and demonstrate professional competency.","Problem Solving, Cloud Computing, Machine Operation",AWS Certified,Healthcare,Mid-Level,MBA
109,Construction Supervisor 109,"We are hiring a Construction Supervisor in the Pharmaceutical industry. Candidate should have strong skills in SQL, Machine Operation, Project Management and demonstrate professional competency.","SQL, Machine Operation, Project Management",Microsoft Azure,Pharmaceutical,Junior,Diploma
110,Geologist 110,"We are hiring a Geologist in the Real Estate industry. Candidate should have strong skills in Customer Service, Accounting, Java and demonstrate professional competency.","Customer Service, Accounting, Java",Cisco CCNA,Real Estate,Junior,Diploma
111,Textile Engineer 111,"We are hiring a Textile Engineer in the E-commerce industry. Candidate should have strong skills in Project Management, AutoCAD, Java and demonstrate professional competency.","Project Management, AutoCAD, Java",Cisco CCNA,E-commerce,Fresher,ITI
112,Video Editor 112,"We are hiring a Video Editor in the Hospitality industry. Candidate should have strong skills in Python, Problem Solving, Cloud Computing and demonstrate professional competency.","Python, Problem Solving, Cloud Computing",Chartered Accountant,Hospitality,Manager,BA
113,Psychologist 113,"We are hiring a Psychologist in the Defense industry. Candidate should have strong skills in Teaching, Marketing, Public Speaking and demonstrate professional competency.","Teaching, Marketing, Public Speaking",Cisco CCNA,Defense,Senior,BCom
114,Army Officer 114,"We are hiring a Army Officer in the Defense industry. Candidate should have strong skills in Communication, Data Analysis, Marketing and demonstrate professional competency.","Communication, Data Analysis, Marketing",Six Sigma,Defense,Mid-Level,MSc
115,Counselor 115,"We are hiring a Counselor in the Pharmaceutical industry. Candidate should have strong skills in Problem Solving, Cloud Computing, Leadership and demonstrate professional competency.","Problem Solving, Cloud Computing, Leadership",Scrum Master,Pharmaceutical,Mid-Level,PhD
116,Marine Biologist 116,"We are hiring a Marine Biologist in the Construction industry. Candidate should have strong skills in Leadership, Sales Strategy, Cybersecurity and demonstrate professional competency.","Leadership, Sales Strategy, Cybersecurity",Google Data Analytics,Construction,Manager,PhD
117,Bank Manager 117,"We are hiring a Bank Manager in the Defense industry. Candidate should have strong skills in Data Analysis, Accounting, Leadership and demonstrate professional competency.","Data Analysis, Accounting, Leadership",TEFL,Defense,Mid-Level,MSc
118,Environmental Engineer 118,"We are hiring a Environmental Engineer in the Media industry. Candidate should have strong skills in Content Creation, Leadership, C++ and demonstrate professional competency.","Content Creation, Leadership, C++",Microsoft Azure,Media,Senior,B.Ed
119,Delivery Executive 119,"We are hiring a Delivery Executive in the Real Estate industry. Candidate should have strong skills in Leadership, Java, Content Creation and demonstrate professional competency.","Leadership, Java, Content Creation",Google Data Analytics,Real Estate,Executive,ITI
120,DevOps Engineer 120,"We are hiring a DevOps Engineer in the Defense industry. Candidate should have strong skills in C++, Problem Solving, Sales Strategy and demonstrate professional competency.","C++, Problem Solving, Sales Strategy",Cisco CCNA,Defense,Executive,ITI
121,Pilot 121,"We are hiring a Pilot in the Telecommunications industry. Candidate should have strong skills in Machine Operation, Cybersecurity, Cloud Computing and demonstrate professional competency.","Machine Operation, Cybersecurity, Cloud Computing",PMP,Telecommunications,Fresher,Diploma
122,Cab Driver 122,"We are hiring a Cab Driver in the Government industry. Candidate should have strong skills in Cybersecurity, Communication, Java and demonstrate professional competency.","Cybersecurity, Communication, Java",AWS Certified,Government,Executive,BSc
123,Librarian 123,"We are hiring a Librarian in the Media industry. Candidate should have strong skills in Communication, AutoCAD, Public Speaking and demonstrate professional competency.","Communication, AutoCAD, Public Speaking",Google Data Analytics,Media,Senior,BCom
124,Delivery Executive 124,"We are hiring a Delivery Executive in the Energy industry. Candidate should have strong skills in Marketing, Excel, Cybersecurity and demonstrate professional competency.","Marketing, Excel, Cybersecurity",First Aid Certified,Energy,Executive,BA
125,Stock Broker 125,"We are hiring a Stock Broker in the Telecommunications industry. Candidate should have strong skills in Patient Care, Accounting, Marketing and demonstrate professional competency.","Patient Care, Accounting, Marketing",Chartered Accountant,Telecommunications,Fresher,PhD
126,Recruiter 126,"We are hiring a Recruiter in the Real Estate industry. Candidate should have strong skills in Accounting, Cloud Computing, C++ and demonstrate professional competency.","Accounting, Cloud Computing, C++",IELTS,Real Estate,Executive,MBBS
